RiskType	Bucket	Label1	Label2	Parameter
Calib_IRCurve_Corr		10Y	3M	0.27
Calib_IRCurve_Corr		10Y	6M	0.41
Calib_IRCurve_Corr		10Y	1Y	0.65
Calib_IRCurve_Corr		10Y	2Y	0.79
Calib_IRCurve_Corr		10Y	3Y	0.88
Calib_IRCurve_Corr		10Y	5Y	0.95
Calib_IRCurve_Corr		10Y	15Y	0.97
Calib_IRCurve_Corr		10Y	20Y	0.95
Calib_IRCurve_Corr		10Y	30Y	0.95
Calib_IRCurve_Corr		15Y	2W	0.13
Calib_IRCurve_Corr		15Y	1M	0.13
Calib_IRCurve_Corr		15Y	3M	0.2
Calib_IRCurve_Corr		15Y	6M	0.35
Calib_IRCurve_Corr		15Y	1Y	0.59
Calib_IRCurve_Corr		15Y	2Y	0.75
Calib_IRCurve_Corr		15Y	3Y	0.83
Calib_IRCurve_Corr		15Y	5Y	0.91
Calib_IRCurve_Corr		15Y	10Y	0.97
Calib_IRCurve_Corr		15Y	20Y	0.98
Calib_IRCurve_Corr		15Y	30Y	0.98
Calib_IRCurve_Corr		20Y	2W	0.11
Calib_IRCurve_Corr		20Y	1M	0.11
Calib_IRCurve_Corr		20Y	3M	0.17
Calib_IRCurve_Corr		20Y	6M	0.33
Calib_IRCurve_Corr		20Y	1Y	0.56
Calib_IRCurve_Corr		20Y	2Y	0.72
Calib_IRCurve_Corr		20Y	3Y	0.8
Calib_IRCurve_Corr		20Y	5Y	0.88
Calib_IRCurve_Corr		20Y	10Y	0.95
Calib_IRCurve_Corr		20Y	15Y	0.98
Calib_IRCurve_Corr		20Y	30Y	0.99
Calib_IRCurve_Corr		30Y	2W	0.09
Calib_IRCurve_Corr		30Y	1M	0.1
Calib_IRCurve_Corr		30Y	3M	0.17
Calib_IRCurve_Corr		30Y	6M	0.31
Calib_IRCurve_Corr		30Y	1Y	0.54
Calib_IRCurve_Corr		30Y	2Y	0.7
Calib_IRCurve_Corr		30Y	3Y	0.78
Calib_IRCurve_Corr		30Y	5Y	0.87
Calib_IRCurve_Corr		30Y	10Y	0.95
Calib_IRCurve_Corr		30Y	15Y	0.98
Calib_IRCurve_Corr		30Y	20Y	0.99
Calib_IRSubCurve_Corr				0.986
Calib_Inflation_Corr				0.42
Calib_XCcyBasis_Corr				0.04
Calib_IR_CorrOuter				0.2
Calib_CreditQ_Weight	1			17
Calib_CreditQ_Weight	2			22
Calib_CreditQ_Weight	3			14
Calib_CreditQ_Weight	4			11
Calib_CreditQ_Weight	5			11
Calib_CreditQ_Weight	6			9.5
Calib_CreditQ_Weight	7			39
Calib_CreditQ_Weight	8			63
Calib_CreditQ_Weight	9			28
Calib_CreditQ_Weight	10			45
Calib_CreditQ_Weight	11			32
Calib_CreditQ_Weight	12			35
Calib_CreditQ_Weight	Residual			63
Calib_CreditVol_Weight				0.091
Calib_BaseCorr_Weight				2.6
Calib_CreditQ_Corr		Aggregate	Same	0.94
Calib_CreditQ_Corr		Aggregate	Different	0.42
Calib_CreditQ_Corr		Residual	Same	0.5
Calib_CreditQ_Corr		Residual	Different	0.5
Calib_BaseCorr_Corr				0.18
Calib_CreditQ_CorrOuter		1	2	0.39
Calib_CreditQ_CorrOuter		1	3	0.39
Calib_CreditQ_CorrOuter		1	4	0.4
Calib_CreditQ_CorrOuter		1	5	0.4
Calib_CreditQ_CorrOuter		1	6	0.37
Calib_CreditQ_CorrOuter		1	7	0.39
Calib_CreditQ_CorrOuter		1	8	0.32
Calib_CreditQ_CorrOuter		1	9	0.35
Calib_CreditQ_CorrOuter		1	10	0.33
Calib_CreditQ_CorrOuter		1	11	0.33
Calib_CreditQ_CorrOuter		1	12	0.3
Calib_CreditQ_CorrOuter		2	1	0.39
Calib_CreditQ_CorrOuter		2	3	0.43
Calib_CreditQ_CorrOuter		2	4	0.45
Calib_CreditQ_CorrOuter		2	5	0.45
Calib_CreditQ_CorrOuter		2	6	0.43
Calib_CreditQ_CorrOuter		2	7	0.32
Calib_CreditQ_CorrOuter		2	8	0.34
Calib_CreditQ_CorrOuter		2	9	0.39
Calib_CreditQ_CorrOuter		2	10	0.36
Calib_CreditQ_CorrOuter		2	11	0.36
Calib_CreditQ_CorrOuter		2	12	0.31
Calib_CreditQ_CorrOuter		3	1	0.39
Calib_CreditQ_CorrOuter		3	2	0.43
Calib_CreditQ_CorrOuter		3	4	0.47
Calib_CreditQ_CorrOuter		3	5	0.48
Calib_CreditQ_CorrOuter		3	6	0.45
Calib_CreditQ_CorrOuter		3	7	0.33
Calib_CreditQ_CorrOuter		3	8	0.33
Calib_CreditQ_CorrOuter		3	9	0.41
Calib_CreditQ_CorrOuter		3	10	0.38
Calib_CreditQ_CorrOuter		3	11	0.39
Calib_CreditQ_CorrOuter		3	12	0.35
Calib_CreditQ_CorrOuter		4	1	0.4
Calib_CreditQ_CorrOuter		4	2	0.45
Calib_CreditQ_CorrOuter		4	3	0.47
Calib_CreditQ_CorrOuter		4	5	0.49
Calib_CreditQ_CorrOuter		4	6	0.47
Calib_CreditQ_CorrOuter		4	7	0.33
Calib_CreditQ_CorrOuter		4	8	0.34
Calib_CreditQ_CorrOuter		4	9	0.41
Calib_CreditQ_CorrOuter		4	10	0.4
Calib_CreditQ_CorrOuter		4	11	0.39
Calib_CreditQ_CorrOuter		4	12	0.34
Calib_CreditQ_CorrOuter		5	1	0.4
Calib_CreditQ_CorrOuter		5	2	0.45
Calib_CreditQ_CorrOuter		5	3	0.48
Calib_CreditQ_CorrOuter		5	4	0.49
Calib_CreditQ_CorrOuter		5	6	0.48
Calib_CreditQ_CorrOuter		5	7	0.33
Calib_CreditQ_CorrOuter		5	8	0.34
Calib_CreditQ_CorrOuter		5	9	0.41
Calib_CreditQ_CorrOuter		5	10	0.39
Calib_CreditQ_CorrOuter		5	11	0.4
Calib_CreditQ_CorrOuter		5	12	0.34
Calib_CreditQ_CorrOuter		6	1	0.37
Calib_CreditQ_CorrOuter		6	2	0.43
Calib_CreditQ_CorrOuter		6	3	0.45
Calib_CreditQ_CorrOuter		6	4	0.47
Calib_CreditQ_CorrOuter		6	5	0.48
Calib_CreditQ_CorrOuter		6	7	0.31
Calib_CreditQ_CorrOuter		6	8	0.32
Calib_CreditQ_CorrOuter		6	9	0.38
Calib_CreditQ_CorrOuter		6	10	0.36
Calib_CreditQ_CorrOuter		6	11	0.37
Calib_CreditQ_CorrOuter		6	12	0.32
Calib_CreditQ_CorrOuter		7	1	0.39
Calib_CreditQ_CorrOuter		7	2	0.32
Calib_CreditQ_CorrOuter		7	3	0.33
Calib_CreditQ_CorrOuter		7	4	0.33
Calib_CreditQ_CorrOuter		7	5	0.33
Calib_CreditQ_CorrOuter		7	6	0.31
Calib_CreditQ_CorrOuter		7	8	0.26
Calib_CreditQ_CorrOuter		7	9	0.31
Calib_CreditQ_CorrOuter		7	10	0.28
Calib_CreditQ_CorrOuter		7	11	0.27
Calib_CreditQ_CorrOuter		7	12	0.25
Calib_CreditQ_CorrOuter		8	1	0.32
Calib_CreditQ_CorrOuter		8	2	0.34
Calib_CreditQ_CorrOuter		8	3	0.33
Calib_CreditQ_CorrOuter		8	4	0.34
Calib_CreditQ_CorrOuter		8	5	0.34
Calib_CreditQ_CorrOuter		8	6	0.32
Calib_CreditQ_CorrOuter		8	7	0.26
Calib_CreditQ_CorrOuter		8	9	0.31
Calib_CreditQ_CorrOuter		8	10	0.28
Calib_CreditQ_CorrOuter		8	11	0.28
Calib_CreditQ_CorrOuter		8	12	0.25
Calib_CreditQ_CorrOuter		9	1	0.35
Calib_CreditQ_CorrOuter		9	2	0.39
Calib_CreditQ_CorrOuter		9	3	0.41
Calib_CreditQ_CorrOuter		9	4	0.41
Calib_CreditQ_CorrOuter		9	5	0.41
Calib_CreditQ_CorrOuter		9	6	0.38
Calib_CreditQ_CorrOuter		9	7	0.31
Calib_CreditQ_CorrOuter		9	8	0.31
Calib_CreditQ_CorrOuter		9	10	0.35
Calib_CreditQ_CorrOuter		9	11	0.34
Calib_CreditQ_CorrOuter		9	12	0.32
Calib_CreditQ_CorrOuter		10	1	0.33
Calib_CreditQ_CorrOuter		10	2	0.36
Calib_CreditQ_CorrOuter		10	3	0.38
Calib_CreditQ_CorrOuter		10	4	0.4
Calib_CreditQ_CorrOuter		10	5	0.39
Calib_CreditQ_CorrOuter		10	6	0.36
Calib_CreditQ_CorrOuter		10	7	0.28
Calib_CreditQ_CorrOuter		10	8	0.28
Calib_CreditQ_CorrOuter		10	9	0.35
Calib_CreditQ_CorrOuter		10	11	0.34
Calib_CreditQ_CorrOuter		10	12	0.29
Calib_CreditQ_CorrOuter		11	1	0.33
Calib_CreditQ_CorrOuter		11	2	0.36
Calib_CreditQ_CorrOuter		11	3	0.39
Calib_CreditQ_CorrOuter		11	4	0.39
Calib_CreditQ_CorrOuter		11	5	0.4
Calib_CreditQ_CorrOuter		11	6	0.37
Calib_CreditQ_CorrOuter		11	7	0.27
Calib_CreditQ_CorrOuter		11	8	0.28
Calib_CreditQ_CorrOuter		11	9	0.34
Calib_CreditQ_CorrOuter		11	10	0.34
Calib_CreditQ_CorrOuter		11	12	0.3
Calib_CreditQ_CorrOuter		12	1	0.3
Calib_CreditQ_CorrOuter		12	2	0.31
Calib_CreditQ_CorrOuter		12	3	0.35
Calib_CreditQ_CorrOuter		12	4	0.34
Calib_CreditQ_CorrOuter		12	5	0.34
Calib_CreditQ_CorrOuter		12	6	0.32
Calib_CreditQ_CorrOuter		12	7	0.25
Calib_CreditQ_CorrOuter		12	8	0.25
Calib_CreditQ_CorrOuter		12	9	0.32
Calib_CreditQ_CorrOuter		12	10	0.29
Calib_CreditQ_CorrOuter		12	11	0.3
Calib_CreditNonQ_Weight	1			83
Calib_CreditNonQ_Weight	2			220
Calib_CreditNonQ_Weight	Residual			220
Calib_CreditVolNonQ_Weight				0.091
Calib_CreditNonQ_Corr		Aggregate	Same	0.77
Calib_CreditNonQ_Corr		Aggregate	Different	0.47
Calib_CreditNonQ_Corr		Residual	Same	0.5
Calib_CreditNonQ_Corr		Residual	Different	0.5
Calib_CreditNonQ_CorrOuter				0.69
Calib_Equity_Weight	1			7.6
Calib_Equity_Weight	2			8.1
Calib_Equity_Weight	3			9.4
Calib_Equity_Weight	4			8.3
Calib_Equity_Weight	5			6.8
Calib_Equity_Weight	6			7.4
Calib_Equity_Weight	7			8.5
Calib_Equity_Weight	8			8.6
Calib_Equity_Weight	9			9.4
Calib_Equity_Weight	10			9.3
Calib_Equity_Weight	11			5.5
Calib_Equity_Weight	12			5.5
Calib_Equity_Weight	Residual			9.4
Calib_EquityVol_HVR				0.54
Calib_EquityVol_Weight	1			0.065
Calib_EquityVol_Weight	2			0.065
Calib_EquityVol_Weight	3			0.065
Calib_EquityVol_Weight	4			0.065
Calib_EquityVol_Weight	5			0.065
Calib_EquityVol_Weight	6			0.065
Calib_EquityVol_Weight	7			0.065
Calib_EquityVol_Weight	8			0.065
Calib_EquityVol_Weight	9			0.065
Calib_EquityVol_Weight	10			0.065
Calib_EquityVol_Weight	11			0.065
Calib_EquityVol_Weight	12			0.22
Calib_EquityVol_Weight	Residual			0.065
Calib_Equity_Corr	1			0.14
Calib_Equity_Corr	2			0.2
Calib_Equity_Corr	3			0.28
Calib_Equity_Corr	4			0.23
Calib_Equity_Corr	5			0.18
Calib_Equity_Corr	6			0.29
Calib_Equity_Corr	7			0.34
Calib_Equity_Corr	8			0.3
Calib_Equity_Corr	9			0.19
Calib_Equity_Corr	10			0.17
Calib_Equity_Corr	11			0.41
Calib_Equity_Corr	12			0.41
Calib_Equity_Corr	Residual			0
Calib_Equity_CorrOuter		1	2	0.17
Calib_Equity_CorrOuter		1	3	0.18
Calib_Equity_CorrOuter		1	4	0.17
Calib_Equity_CorrOuter		1	5	0.11
Calib_Equity_CorrOuter		1	6	0.15
Calib_Equity_CorrOuter		1	7	0.15
Calib_Equity_CorrOuter		1	8	0.15
Calib_Equity_CorrOuter		1	9	0.15
Calib_Equity_CorrOuter		1	10	0.11
Calib_Equity_CorrOuter		1	11	0.19
Calib_Equity_CorrOuter		1	12	0.19
Calib_Equity_CorrOuter		2	1	0.17
Calib_Equity_CorrOuter		2	3	0.23
Calib_Equity_CorrOuter		2	4	0.21
Calib_Equity_CorrOuter		2	5	0.13
Calib_Equity_CorrOuter		2	6	0.17
Calib_Equity_CorrOuter		2	7	0.18
Calib_Equity_CorrOuter		2	8	0.17
Calib_Equity_CorrOuter		2	9	0.19
Calib_Equity_CorrOuter		2	10	0.13
